epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.61498,1.33322,2.67163,0.01425,0.90762,0.65017,0.90221,0.66576,1.58809,0.95649,0.0116,0,0,0
2,22.1802,1.47738,2.47263,0.01783,0.89283,0.65549,0.90231,0.66594,1.58692,0.9562,0.01155,1.16644e-06,1.16644e-06,1.16644e-06
3,33.9863,1.40542,2.06206,0.02123,0.87757,0.663,0.90436,0.66527,1.58634,0.95506,0.01156,2.28575e-06,2.28575e-06,2.28575e-06
4,45.4486,1.59933,3.02673,0.02123,0.88519,0.67111,0.90446,0.66496,1.59149,0.9551,0.01155,3.35794e-06,3.35794e-06,3.35794e-06
5,57.222,1.28972,3.05327,0.02261,0.86833,0.66319,0.90443,0.66506,1.59211,0.96228,0.01153,4.38301e-06,4.38301e-06,4.38301e-06
6,68.0974,1.2984,3.67609,0.02681,0.88076,0.66125,0.90443,0.66386,1.58249,0.96152,0.01144,5.36095e-06,5.36095e-06,5.36095e-06
7,78.4233,1.19764,2.27134,0.01406,0.84536,0.68382,0.90048,0.65959,1.62238,0.95754,0.01191,6.29177e-06,6.29177e-06,6.29177e-06
8,88.9437,1.00485,2.44595,0.01349,0.85929,0.67874,0.90202,0.66282,1.62394,0.95444,0.01189,7.17546e-06,7.17546e-06,7.17546e-06
9,99.3713,1.14033,2.29065,0.0133,0.85571,0.68178,0.90198,0.66294,1.62193,0.95382,0.01185,8.01203e-06,8.01203e-06,8.01203e-06
10,110.769,1.14693,2.09764,0.01568,0.84493,0.68525,0.902,0.6609,1.61864,0.96037,0.0118,8.80148e-06,8.80148e-06,8.80148e-06
11,122.302,1.2463,2.38012,0.01339,0.97212,0.61917,0.90202,0.6559,1.61876,0.98396,0.01177,9.5438e-06,9.5438e-06,9.5438e-06
12,124.3,1.22244,1.98169,0.01387,0.97656,0.61907,0.9079,0.66064,1.61466,0.98852,0.01174,1.0239e-05,1.0239e-05,1.0239e-05
13,125.759,1.24466,2.63691,0.01388,0.96811,0.62011,0.8899,0.65912,1.62316,0.99538,0.01184,1.08871e-05,1.08871e-05,1.08871e-05
14,127.245,1.20042,2.54922,0.02068,0.95708,0.6221,0.88596,0.66729,1.56201,1.13047,0.01144,1.1488e-05,1.1488e-05,1.1488e-05
15,128.6,1.42248,3.28641,0.01591,0.93764,0.61866,0.88936,0.65091,1.56105,1.1356,0.01141,1.20418e-05,1.20418e-05,1.20418e-05
16,130.02,1.26405,2.16362,0.01577,0.83283,0.68517,0.88845,0.66688,1.55687,1.12895,0.0113,1.25486e-05,1.25486e-05,1.25486e-05
17,131.407,0.99066,1.8414,0.01248,0.84484,0.68265,0.88767,0.66765,1.55273,1.13332,0.01127,1.30081e-05,1.30081e-05,1.30081e-05
18,132.793,1.11208,1.97797,0.01325,0.84484,0.68265,0.88767,0.66765,1.55273,1.13332,0.01127,1.34206e-05,1.34206e-05,1.34206e-05
19,134.218,1.03454,1.72554,0.00898,0.84806,0.68015,0.88657,0.66725,1.54959,1.14522,0.01102,1.37859e-05,1.37859e-05,1.37859e-05
20,135.629,1.00727,2.38181,0.01773,0.84806,0.68015,0.88657,0.66725,1.54959,1.14522,0.01102,1.41041e-05,1.41041e-05,1.41041e-05
21,137.049,0.9972,2.09749,0.01459,0.94719,0.62178,0.88625,0.67621,1.53903,1.17272,0.01079,1.43752e-05,1.43752e-05,1.43752e-05
22,138.48,1.04151,2.03509,0.01068,0.94719,0.62178,0.88625,0.67621,1.53903,1.17272,0.01079,1.45992e-05,1.45992e-05,1.45992e-05
23,139.849,1.08402,2.4437,0.01472,0.82547,0.68081,0.85845,0.66258,1.54337,1.19079,0.01094,1.4776e-05,1.4776e-05,1.4776e-05
24,141.233,1.33084,2.94387,0.02745,0.82547,0.68081,0.85845,0.66258,1.54337,1.19079,0.01094,1.49057e-05,1.49057e-05,1.49057e-05
25,142.626,0.85425,1.97285,0.01239,0.84156,0.67811,0.85194,0.66082,1.55052,1.19361,0.01103,1.49883e-05,1.49883e-05,1.49883e-05
26,143.912,1.12902,1.99657,0.0114,0.84156,0.67811,0.85194,0.66082,1.55052,1.19361,0.01103,1.50238e-05,1.50238e-05,1.50238e-05
27,145.384,1.13521,2.09838,0.01512,0.74979,0.69337,0.81068,0.63661,1.55194,1.2381,0.01097,1.50121e-05,1.50121e-05,1.50121e-05
28,146.669,1.22963,1.95487,0.02139,0.74979,0.69337,0.81068,0.63661,1.55194,1.2381,0.01097,1.49533e-05,1.49533e-05,1.49533e-05
29,148.027,1.08488,2.11341,0.0123,0.74075,0.68394,0.84401,0.64827,1.57096,1.21287,0.01111,1.48474e-05,1.48474e-05,1.48474e-05
30,149.337,1.39644,2.87789,0.02672,0.74075,0.68394,0.84401,0.64827,1.57096,1.21287,0.01111,1.46944e-05,1.46944e-05,1.46944e-05
31,150.761,0.98975,1.98898,0.0171,0.73377,0.68597,0.84839,0.66613,1.5674,1.2347,0.01097,1.44942e-05,1.44942e-05,1.44942e-05
32,152.034,1.13519,1.54428,0.01411,0.73377,0.68597,0.84839,0.66613,1.5674,1.2347,0.01097,1.42469e-05,1.42469e-05,1.42469e-05
33,153.428,1.12822,4.05031,0.01853,0.81403,0.65605,0.8637,0.66763,1.5789,1.225,0.01096,1.39525e-05,1.39525e-05,1.39525e-05
34,154.682,1.09145,1.41256,0.0161,0.81403,0.65605,0.8637,0.66763,1.5789,1.225,0.01096,1.3611e-05,1.3611e-05,1.3611e-05
35,155.982,0.88794,2.55025,0.01799,0.71671,0.69184,0.82239,0.64807,1.59591,1.22818,0.01097,1.32223e-05,1.32223e-05,1.32223e-05
36,157.401,1.22873,2.30178,0.01096,0.71671,0.69184,0.82239,0.64807,1.59591,1.22818,0.01097,1.27866e-05,1.27866e-05,1.27866e-05
37,158.812,1.03767,2.4214,0.01812,0.82037,0.65398,0.86287,0.64839,1.60018,1.22236,0.01091,1.23036e-05,1.23036e-05,1.23036e-05
38,160.206,1.06292,1.7615,0.0099,0.82037,0.65398,0.86287,0.64839,1.60018,1.22236,0.01091,1.17736e-05,1.17736e-05,1.17736e-05
39,161.504,1.17831,2.3345,0.01629,0.81857,0.65451,0.86363,0.64693,1.63095,1.25007,0.01125,1.11965e-05,1.11965e-05,1.11965e-05
40,162.874,0.89294,1.7093,0.00981,0.81857,0.65451,0.86363,0.64693,1.63095,1.25007,0.01125,1.05722e-05,1.05722e-05,1.05722e-05
41,164.173,0.98777,1.35865,0.01729,0.82595,0.65238,0.85167,0.65666,1.63556,1.24477,0.01137,9.9008e-06,9.9008e-06,9.9008e-06
